SHIP_ID,LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,SHIPNAME,SHIPTYPE,WIDTH,L_FORE,W_LEFT,ROT,DWT,GT_SHIPTYPE,TYPE_IMG,TYPE_NAME,STATUS_NAME
654975,37.964596,72.83345,1,312,,1128,CLASS B,IN,0,GIRIJA II,6,0,0,0,,,,,,
712039,22.63772,69.622772,106,234,242,3,FOR ORDERS,MH,334,DHT EUROPE,8,60,277,25,10,317713,17,,,
2601376,22.32382,68.718918,0,238,3,235,FUJAIRAH,IN,332,DESH VIBHOR,8,59,297,15,0,316635,17,,,
417205,22.59811,69.278625,136,276,281,2,FJR UAE,LR,332,SERIFOS,8,60,281,36,3,309396,17,,,
198486,22.590055,69.805664,0,137,46,5,IN SIK,PA,333,OMEGA TRADER,8,60,282,28,-1,305206,17,,,
1847,22.677912,69.935219,24,67,66,2,INSIK,MT,333,HOUSTON,8,60,276,27,0,299999,17,,,
9581192,22.079887,68.794632,167,27,26,3,INMUN,LR,366,MSC ALESSIA,7,51,115,38,-1,200679,11,,,
125579,22.505911,69.543892,0,180,101,2,IN SAL,LR,289,EKATERINI V,7,45,247,16,0,173555,6,,,
458425,22.738251,69.70063,0,5,270,7,SGSIN,PA,365,MSC VALERIA,7,51,142,28,0,165966,11,,,
368418,22.501753,69.660019,3,88,358,3,FOR ORDER,LT,274,BLUE,8,50,230,30,0,165293,17,,,
212572,22.573967,69.678253,1,88,109,2,FOR ORDERS,SL,274,PRISMA,8,50,231,25,0,164565,17,,,
754761,22.846634,68.769302,121,300,297,5,AE KLF,MH,274,YANNIS P,8,48,231,32,0,158149,17,,,
4385468,21.616756,68.793381,5,34,359,7,INVAD,MT,276,ANTIGUA I,8,48,225,42,0,157391,71,,,
1601,21.997097,68.043251,131,247,,1357,EGSCN,LR,248,MARETA,8,43,211,14,,115795,17,,,
9732584,22.49958,69.836571,0,296,310,4,"SIKKA,INDIA",LR,249,KARPATHOS,8,44,204,26,0,115059,17,,,
5429491,22.297253,68.473984,0,348,258,95,FOR ORDER,AZ,250,KARABAKH,8,44,214,28,0,114667,17,,,
727226,22.651693,69.14856,111,260,253,8,INBOM,LR,250,IDOMENEAS,7,43,208,17,0,114167,6,,,
374974,22.225611,68.713722,1,311,225,7,INDIA FOR ORDER,CM,256,MAGNUS,8,44,213,27,0,111920,17,,,
157174,22.632244,69.0205,170,263,,5,PKKHI,LR,346,MSC DOMNA X,7,42,244,21,,110387,11,,,
555604,21.955326,68.742577,1,299,230,7,INVDN,SL,244,TIBURON,8,42,200,32,0,109571,71,,,
726867,22.58087,68.931885,113,34,44,7,"VADINAR,INDIA",SL,245,BAI LU,8,42,203,9,13,108940,17,,,
3166,21.644747,68.117615,4,69,196,7,FOR ORDERS,PA,243,SAGAR1,8,42,205,26,0,106468,17,,,
9192438,21.926395,68.707306,0,354,228,16,VADINAR,SL,240,BIVOLA,8,42,212,21,6,106070,17,,,
3350984,21.528641,67.692017,133,242,242,347,EGSUZ,SL,229,THORIN,8,42,0,0,0,105374,17,,,
T0RFME9EYzNPREUwT0RjM09ERTBPQT09LXJFWHBxNzk3S2lGazA3T3FMUXlPYnc9PQ==,21.09,66.779999,140,242,,92,,,,[SAT-AIS],8,,,,,,,8,Tanker,Underway using Engine
193118,24.810617,66.97525,0,147,161,7,PK KHI,BZ,229,CY VICTORIOUS,8,42,194,16,,105370,17,,,
9668491,24.771059,67.311996,0,86,307,3,PKBQM,FR,298,WADI AL SAIL,8,46,235,15,0,93124,18,,,
373413,21.6745,72.509499,0,237,178,798,MU PLU>IN DAH,BS,291,SONANGOL BENGUELA,8,43,230,24,0,89806,18,,,
TmpRME9UYzFOalEwT1RjMU5qUTBPUT09LVY0UFYxeVEzOEJuS0RHYnBOais5Ymc9PQ==,21.674999,72.510002,,228,,92,,,,[SAT-AIS],8,,,,,,,8,Tanker,Moored
8745241,24.694563,66.900185,123,210,208,3,LKCMB,HK,272,ONE REINFORCEMENT,7,43,198,29,-9,83667,11,,,
9702954,21.382179,69.104805,131,314,314,7,IN MUN,PA,272,KMTC MOMBASA,7,43,89,15,0,83054,11,,,
280313,24.535503,66.929199,3,278,241,8,BIN QASIM,IT,228,MBA FUTURE,7,32,206,21,,82181,6,,,
9626729,22.99341,70.224411,0,113,175,7,IN IXY,LR,229,ELATOS,7,32,198,21,,82050,6,,,
6252150,24.524263,66.99633,0,202,244,12,MUHAMMAD BIN QASIM,LR,228,RICHLAND SINGAPORE,7,32,197,22,,82037,6,,,
411996,22.816469,68.762535,175,107,113,2,INMUN,CY,299,MSC AQUARIUS VII,7,40,225,30,,81171,11,,,
369747,24.449053,66.951866,0,307,237,7,PK BQM,BS,283,EJNAN,8,43,226,33,,78403,18,,,
5871848,21.753918,68.449768,130,159,159,101,CNHUI,GB,228,ORANGE VICTORIA,8,38,196,24,0,77430,88,,,
TWpZNU5ETXhNalk1TkRNeE1qWTVOQT09LTlUcVhLc0I5djFyVTVETDZ4NXVnSWc9PQ==,21.503334,68.556664,120,158,,26,,,,[SAT-AIS],8,,,,,,,8,Tanker,Underway using Engine
729348,22.640388,69.948425,3,99,3,3,SIKKA,SG,228,PM CROWN,8,32,189,21,0,76604,71,,,
756217,22.849972,68.674843,140,104,107,2,IN KDL,MH,225,ARCTURUS I,7,32,205,2,0,76397,6,,,
754040,22.754919,69.568863,0,327,24,3,IN MUN,LR,225,NIKOLAOS,7,32,191,8,0,75538,6,,,
733401,22.205219,67.92334,151,134,141,7,INNSA,MT,293,APL OREGON,7,40,221,10,0,72912,11,,,
757479,22.00201,68.843094,103,343,342,2,VADINAR,PA,227,NILE,8,32,192,20,0,72664,71,,,
554816,24.153589,66.873955,172,169,171,409,MYPKG,CN,279,XIN PU DONG,7,40,187,20,0,69303,11,,,
9275565,21.677084,72.360336,2,146,342,3,IN BHU,PA,199,OBE UNITY,7,32,170,19,0,64204,6,,,
8231294,21.621174,69.589729,0,237,348,30,ZARCB>INPBD,MT,199,PATMOS,7,32,177,23,,63631,6,,,
TmpJMk5UTXhOakkyTlRNeE5qSTJOUT09LW5TcXRUOEU3bnN0cllDam9MWDZrUWc9PQ==,21.620001,69.588333,0,237,,6,,,,[SAT-AIS],7,,,,,,,7,Cargo Vessel,Moored
6816938,22.654726,70.018494,2,75,159,3,INBED,LR,199,PACIFIC APEX,7,32,170,11,0,63620,6,,,
2678,21.373779,68.364769,93,111,115,7,INPAV,MT,199,KIRAN ANATOLIA,7,32,171,12,0,63478,6,,,
758467,21.724901,68.692696,6,87,212,7,MUNDRA,LR,255,X PRESS BARDSEY,7,37,198,26,-1,62090,11,,,
412980,22.91935,70.367668,1,298,55,5,INNAV,MT,199,ALASIA,7,32,171,9,,61311,6,,,
2684742,23.155306,68.447136,1,318,223,4,INJAK,PA,199,AFRICAN ARROW,7,32,171,11,-1,61285,6,,,
7250539,21.692818,68.892372,133,331,330,7,IN BOM>IN IXY,MH,199,CL XUCHANG,7,32,172,19,0,61203,6,,,
656422,22.778988,70.01915,0,308,39,6,KANDLA,IN,262,SCI MUMBAI,7,32,197,6,0,57785,11,,,
689295,22.794031,70.052933,2,137,40,5,IN IXY,MH,189,FEHU,7,32,160,19,0,56416,6,,,
689999,22.747927,70.104706,0,190,23,5,IN NAV,PA,189,HAI JIN JIANG SH,7,32,159,18,0,55000,6,,,
156412,22.039318,68.569077,103,148,150,3,INPIV,DK,294,MAERSK BALTIMORE,7,32,162,16,0,53700,11,,,
374107,21.564064,67.438507,128,291,,211,AERUW,IN,227,NANDA DEVI,8,36,188,20,,53503,19,,,
687604,24.607658,66.943466,1,119,273,8,KARACHI,CN,189,KANG HUAN,7,32,161,10,,52810,6,,,
688277,21.883156,67.265312,101,76,76,30,ARMED GUARD ONBOARD,PA,189,SEA AMELIA,7,32,165,21,0,52471,6,,,
4092234,22.588026,69.864624,1,50,354,5,SIKKA,MH,183,ST. MARY,8,32,150,16,0,50215,88,,,
3967962,21.384445,72.393669,0,,1,4,IN DAH,SG,183,MARITIME EQUATOR,8,35,140,26,-1,49998,88,,,
335339,24.564526,66.976265,1,209,287,28,BIN QASIM,GR,189,SEA CHAMPION,7,32,162,19,,48857,6,,,
TXpFNU1ETTRNekU1TURNNE16RTVNQT09LXZzaS9NaFR4RklFbE93Z3NLbGdONVE9PQ==,24.563334,66.976669,0,38,,6,,,,[SAT-AIS],7,,,,,,,7,Cargo Vessel,At Anchor
753878,22.766499,68.867264,135,281,,50,FUJAIRAH,NO,184,CHAMPION ARCTIC,8,32,157,16,,47782,88,,,
T1RFM05EQTJPVEUzTkRBMk9URTNOQT09LXFXYXc2MHNiSkZlbkRrNVFTMGtMZEE9PQ==,22.746666,68.71167,120,262,,11,,,,[SAT-AIS],8,,,,,,,8,Tanker,Underway using Engine
753540,21.551121,68.984734,118,334,334,7,KANDLA,PA,182,CELESTIAL,8,32,145,20,0,47407,17,,,
753448,22.508041,69.60347,1,106,148,4,VADINAR,SL,183,GARUDA,8,32,148,18,0,46992,88,,,
409894,22.803232,67.974617,0,101,,520,KANDLA,PA,185,OCEAN PROSPERITY,7,30,157,14,,45654,6,,,
T1RVMk5UZzBPVFUyTlRnME9UVTJOUT09LW1aNDJVNEdXWHcveG5OVXBIL244V3c9PQ==,22.801666,67.973335,0,,,9,,,,[SAT-AIS],7,,,,,,,7,Cargo Vessel,At Anchor
708697,22.621199,69.192375,64,116,121,2,SIKKA,SG,180,MARITIME NORDIC,8,32,146,20,0,44487,88,,,
757919,23.404675,66.259903,170,105,105,416,IN MUN,LR,222,GSL MAMITSA,7,30,47,0,0,39276,11,,,
TkRZMk1URTVORFkyTVRFNU5EWTJNUT09LWhQeERlWFdNNXQ3cWRkdjh4ajhocnc9PQ==,23.036667,67.83667,120,102,,7,,,,[SAT-AIS],7,,,,,,,7,Cargo Vessel,Underway using Engine
3522602,21.40896,69.521782,115,321,,5,IN IXY,MH,177,DEVBULK DAMLA,7,28,153,21,,37322,6,,,
3551567,22.440947,68.504028,0,158,240,6,FOR ORDERS,MH,180,TAZ,7,30,152,18,0,35000,6,,,
TnpZMk9UVTNOelkyT1RVM056WTJPUT09LStWRC9qdlNBVzMzWEk2TVFybTRxNWc9PQ==,22.92,68.205002,0,122,,533,,,,[SAT-AIS],7,,,,,,,7,Cargo Vessel,Underway using Engine
753325,22.613834,69.426331,88,73,73,2,INIXY,KN,185,VENUS J,7,23,0,0,0,30838,6,,,
727415,21.78895,68.23661,15,70,3,8,INMUN,SG,179,KOTA NILAM,7,27,146,12,1,25985,11,,,
726861,22.626991,69.491432,128,87,89,2,INMUN,SG,179,KOTA NALURI,7,27,138,18,0,25985,11,,,
466607,22.881186,68.657852,113,279,,44,BANDAR ABBAS,VC,193,LIBRA,7,28,149,13,,24383,11,,,
408045,22.726017,68.39595,1,285,,520,KANDLA,KM,150,MOMENTUM PHONIX,7,26,126,14,,23712,6,,,
6130272,21.812361,68.397224,126,204,205,2,SG JUR,LR,149,LILAC RAY,8,24,122,18,0,21028,88,,,
712711,24.190714,66.78727,118,211,,265,PK BQM,PA,147,PVT JUPITER,8,24,129,17,,20832,16,,,
TXpJNE16TTRNekk0TXpNNE16STRNdz09LUF0TWRnVW9WSFJXQlc0RmVLQWdVOWc9PQ==,23.360001,67.011665,110,164,,12,,,,[SAT-AIS],8,,,,,,,8,Tanker,Underway using Engine
729910,22.659546,69.556023,0,79,179,5,IN MUN,BB,145,MULAN,8,23,121,17,0,19966,88,,,
459135,21.681097,67.587852,6,96,186,318,IN SIK,PA,146,BAY YASU,8,23,122,17,0,19896,88,,,
TmprNU5qUTVOams1TmpRNU5qazVOZz09LUVGTnI4bG43dGFWTFZDMVJtOXIxbWc9PQ==,21.658333,67.660004,10,119,,7,,,,[SAT-AIS],8,,,,,,,8,Tanker,Underway using Engine
6035133,22.105116,67.841225,8,80,182,25,INIXY>INIXY OPL,PA,145,EVA TOKYO,8,23,122,17,0,19841,88,,,
282411,22.76,68.253334,1,160,225,39,IN SIK,PA,145,GAS FATE,8,22,120,14,,17779,195,,,
728140,24.72146,66.928955,140,233,235,8,TADAR,SE,199,DON JUAN,7,32,47,24,0,15199,122,,,
726162,22.664938,69.758766,0,139,30,4,INMUN,KR,134,KOREA CHEMI,8,20,111,9,0,14312,88,,,
712560,21.753929,68.148544,12,58,346,7,TO ORDER,MH,128,OCEANIC DREAM,8,20,107,10,0,13083,88,,,
858148,21.786016,68.909531,111,342,341,14,IN SIK,IN,127,BLOSSOM,8,20,97,10,0,12842,88,,,
TWpVME1qYzBNalUwTWpjME1qVTBNZz09LU5hM1pzVEhhSkl1QlQvc2FxSHArQlE9PQ==,21.806667,68.901665,110,342,,7,,,,[SAT-AIS],8,,,,,,,8,Tanker,Underway using Engine
655283,22.838037,70.18013,6,74,,2,KANDLA,IN,122,DCI DREDGE XVII,3,20,150,12,,12408,73,,,
730837,24.752207,66.913376,3,274,253,7,KARACHI PAK,SG,103,MARINE ISTA,8,18,80,14,,8722,71,,,
9006900,22.754229,69.938591,0,175,92,3,INIXY,GM,115,FAREEDA 5,8,16,92,13,0,6613,71,,,
729098,23.269182,66.246231,74,101,160,415,KANDLA,IR,102,STELLAR RUBY,8,17,81,17,,6191,71,,,
TkRBeU9UVTBOREF5T1RVME5EQXlPUT09LWxNQ1VZZDZJVGQxdERidkl6OWQweWc9PQ==,22.891268,66.972343,76,135,,23,,,,[SAT-AIS],8,,,,,,,8,Tanker,Underway using Engine
165704,21.378061,68.054352,91,289,289,49,"RMC ,UAE",PA,105,ASPHALT ALLIANCE,8,16,91,15,0,5895,15,,,
TmpFek5EVXlOakV6TkRVeU5qRXpOQT09LUtGWmxhV2RkT25IaXpuZkNVWkNDMWc9PQ==,21.415001,67.956665,80,295,,9,,,,[SAT-AIS],8,,,,,,,8,Tanker,Underway using Engine
314119,21.955759,69.157402,1,230,241,21,BOGAT,IN,67,HALANI 6,3,16,0,0,0,3100,2,,,
654612,21.606794,69.564789,8,35,268,235,MUMBAI HIGH,IN,78,SCI YAMUNA,3,16,12,11,,3095,2,,,
TXpjeU16UTFNemN5TXpRMU16Y3lNdz09LUxTNEZxSFZkUmowd1RXM2lITWx4V3c9PQ==,21.411667,69.59333,70,168,,25,,,,[SAT-AIS],3,,,,,,,3,Tugs & Special Craft,Underway using Engine
9191239,23.37565,68.570229,0,0,,473,SANGHI,IN,82,NEERJA,7,14,67,6,,2870,9,,,
508368,23.247108,68.608276,1,180,,1397,MUMBAI,IN,82,SAMARPAN,7,14,59,5,,2870,9,,,
7817030,22.586067,70.067886,1,,,3,BARE PORT,IN,75,VRAJ SAGAR,7,14,77,18,,2654,9,,,
656093,21.690605,72.297386,1,156,,30,GHOGHA PORT,TZ,74,RIVER PEARL 8,3,14,7,8,,2531,73,,,
7183360,22.96567,70.423187,0,,,4,BEDI,IN,72,SHAMBHU SAGAR,7,14,60,8,,2258,9,,,
7616733,23.058937,70.219704,0,259,2,2,KANDLA,IN,70,SAGAR URMIKA,8,13,125,2,0,1725,71,,,
