MMSI,ShipName,Latitude,Longitude,Cog,TrueHeading,ShipType,Draught,Length,Time
12345678,DMA                 ,25.26197,55.267156666666665,241.2,511.0,,,,2026-01-18T22:55:24.928317
210621000,WILLEM VAN ORANJE   ,25.356173333333334,54.87211,127.1,130.0,,,,2026-01-18T22:55:56.080302
222222222,,25.200366666666664,55.22788333333333,132.2,136.0,,,,2026-01-18T22:58:03.850789
232032637,LEGENDE             ,25.209274999999998,55.23499833333334,315.3,323.0,37.0,2.7,,2026-01-18T22:54:51.953651
232064711,PETROJARL ROSEBANK  ,25.24738,55.26269666666667,92.0,122.0,0.0,0.0,,2026-01-18T22:59:51.061287
235073785,CYBI ISLAND         ,25.177964999999997,55.21338166666667,249.8,227.0,52.0,2.7,,2026-01-18T22:54:42.600363
244030951,GTO 202             ,25.17485333333333,55.19994,360.0,511.0,,,,2026-01-18T22:55:28.387898
244770069,COASTAL CHARIOT     ,25.192578333333334,55.209305,353.3,264.0,,,,2026-01-18T22:55:14.070889
244810178,CONQUEST MB1        ,25.260983333333336,55.25946666666667,266.0,511.0,90.0,4.1,,2026-01-18T23:02:43.096052
245048000,COASTAL BOXER       ,25.172919999999998,55.206765000000004,47.7,262.0,52.0,2.2,,2026-01-18T22:54:51.538269
245450000,ROTTERDAM           ,25.268431666666668,54.99411833333333,308.1,306.0,,,,2026-01-18T22:55:10.717336
246515000,COASTAL RANGER      ,25.166218333333333,55.20048666666666,242.5,511.0,,,,2026-01-18T22:55:27.282354
246526000,SEA BRONCO          ,25.16593,55.19882,276.5,99.0,,,,2026-01-18T23:02:11.396081
249552000,MATADOR UNO         ,25.268340000000002,55.25932666666667,,,52.0,5.5,,2026-01-18T22:57:12.858630
256235000,MEIN SCHIFF 5,25.250926666666665,55.26784166666666,144.6,130.0,60.0,8.2,,2026-01-18T22:55:31.582023
310719000,LNG PORT-HARCOURT II,25.25104333333333,55.26558,144.9,130.0,,,,2026-01-18T22:54:39.869457
319015100,SUNRAYS,25.216028333333334,55.23276333333333,360.0,289.0,37.0,3.9,,2026-01-18T22:57:15.928927
319029600,FALCON              ,25.261968333333336,55.275690000000004,135.1,358.0,90.0,2.6,,2026-01-18T22:58:24.744244
319062900,Z                   ,25.26207833333333,55.27534,88.2,1.0,,,,2026-01-18T22:55:49.092742
319065700,BLISS               ,25.210491666666666,55.23392,173.5,4.0,37.0,2.4,,2026-01-18T22:56:35.555742
319158700,ONEIRO,25.261668333333333,55.273379999999996,345.1,359.0,,,,2026-01-18T23:00:08.050639
319267000,AQUAMARINA          ,25.26153,55.27320333333333,38.6,0.0,,,,2026-01-18T22:55:49.346323
319302200,CONNECTED           ,25.210253333333334,55.233873333333335,274.3,91.0,60.0,2.6,,2026-01-18T22:56:41.534601
341139000,GREENLAND,25.412221666666667,55.21269333333333,50.6,270.0,,,,2026-01-18T23:03:59.197490
